main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,combined_text,processed_text
Video Games,Dash 8-300 Professional Add-On,5.0,1,"[""Features Dash 8-300 and 8-Q300 ('Q' rollout livery)"", 'Airlines - US Airways, South African Express, Bahamasair, Augsburg Airways, Lufthansa Cityline, British Airways (Union Jack), British European, FlyBe, Intersky, Wideroe, Iberia, Tyrolean, QantasLink, BWIA', 'Airports include - London City, Frankfurt, Milan and Amsterdam Schipol', 'Includes PSS PanelConfig and LoadEdit tools']","['The Dash 8-300 Professional Add-On lets you pilot a real commuter special. Fly two versions of the popular Dash 8-300 in a total of 17 different liveries. The Dash 8-300 is one of the most popular short-haul aircraft available and this superbly modelled version from acclaimed aircraft developers PSS is modelled in two versions with a total of 17 different liveries. The package also includes scenery for three European airports, tutorials, tutorial flights and utilities together in one fantastic package.']",,"[{'thumb': 'https://m.media-amazon.com/images/I/21DVWE41A0L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/21DVWE41A0L.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Aerosoft,"['Video Games', 'PC', 'Games']","{'Pricing': 'The strikethrough price is the List Price. Savings represents a discount off the List Price.', 'Package Dimensions': '7.5 x 5.5 x 0.6 inches; 4.8 Ounces', 'Type of item': 'CD-ROM', 'Rated': 'Everyone', 'Item Weight': '4.8 ounces', 'Manufacturer': 'Aerosoft N.A. LTD', 'Date First Available': 'October 2, 2001'}",B000FH0MHO,,Video Games Video Games PC Games,video game video game pc game
Video Games,Phantasmagoria: A Puzzle of Flesh,4.1,18,['Windows 95'],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/51pqAznTA9L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51pqAznTA9L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71hD-k6kaxL._SL1101_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/61CCFhIg4qL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61CCFhIg4qL.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81dGuRrFwAL._SL1104_.jpg'}]",[],Sierra,"['Video Games', 'PC', 'Games']","{'Best Sellers Rank': {'Video Games': 137612, 'PC-compatible Games': 6707}, 'Pricing': 'The strikethrough price is the List Price. Savings represents a discount off the List Price.', 'Package Dimensions': '5.6 x 4.9 x 0.9 inches; 6.4 Ounces', 'Type of item': 'CD-ROM', 'Rated': 'Mature', 'Is Discontinued By Manufacturer': 'No', 'Item Weight': '6.4 ounces', 'Manufacturer': 'Sierra', 'Date First Available': 'March 30, 2006'}",B00069EVOG,,Video Games Video Games PC Games,video game video game pc game
Video Games,NBA 2K17 - Early Tip Off Edition - PlayStation 4,4.3,223,"['The #1 rated NBA video game simulation series for the last 15 years (Metacritic).', 'The #1 selling NBA video game simulation series for the last 9 years (NPD).', 'Over 85 awards and nominations since the launch of PlayStation 4 & Xbox One.', 'BEST IN CLASS GAMEPLAY - 2K puts shot making in your hands like never before. Advanced Skill Shooting gives you complete control over the power and aim of your perimeter shots as well as your ability to finish inside the paint.', 'THE PRELUDE - Begin your MyCAREER on one of 10 licensed collegiate programs, available for free download one week prior to launch!', 'MyCAREER - It’s all-new and all about basketball in 2K17 – and you’re in control. Your on-court performance and career decisions lead to different outcomes as you determine your path through an immersive new narrative, featuring Michael B. Jordan. Additionally, new player controls give you unparalleled supremacy on the court.', 'USA BASKETBALL - Take the court as Team USA with Coach K on the sidelines, or relive the glory of the ’92 Dream Team. Earn USAB MyTEAM cards and gear up your MyPLAYER with official USAB wearables.', 'COLLEGE INTEGRATION - For the first time, play as college basketball legends with each school’s all-time greats team and MyTEAM cards.', 'LEAGUE EXPANSION - For the first time, customize your MyLEAGUE and MyGM experience with league expansion. Choose your expansion team names, logos and uniforms, and share them with the rest of the NBA 2K community. Your customized league comes complete with everything from Expansion Drafts to modified schedules and more to ensure an authentic NBA experience.', '2K BEATS Imagine Dragons, Grimes, Noah “40” Shabib of OVO Sound and Michael B. Jordan curate another electric 2K soundtrack, featuring 50 songs.']","['Following the record-breaking launch of NBA 2K16, the NBA 2K franchise continues to stake its claim as the most authentic sports video game with NBA 2K17. As the franchise that “all sports video games should aspire to be” (GamesRadar), NBA 2K17 will take the game to new heights and continue to blur the lines between video game and reality.']",58.0,"[{'thumb': 'https://m.media-amazon.com/images/I/51wlIPcf0gL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51wlIPcf0gL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81MtBG4xXhL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51smI92XGdL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51smI92XGdL.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/81fby40wGQL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41B2Li+r-6L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41B2Li+r-6L.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71VFYALs8qL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/518ADy9h+wL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/518ADy9h+wL.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/71ZbTa0QT4L._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41EsOEFBg0L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41EsOEFBg0L.jpg', 'variant': 'PT07', 'hi_res': 'https://m.media-amazon.com/images/I/71kIQMjnwWL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41JUeBKY2EL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41JUeBKY2EL.jpg', 'variant': 'PT08', 'hi_res': 'https://m.media-amazon.com/images/I/71RyXZvZA2L._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41aPDXtqZxL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41aPDXtqZxL.jpg', 'variant': 'PT09', 'hi_res': 'https://m.media-amazon.com/images/I/71PdzeowO3L._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/411-B81va7L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/411-B81va7L.jpg', 'variant': 'PT10', 'hi_res': 'https://m.media-amazon.com/images/I/81Anx48IQUL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41g1KDskmML._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41g1KDskmML.jpg', 'variant': 'PT11', 'hi_res': 'https://m.media-amazon.com/images/I/71mrJKrLwJL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/411DcBq41HL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/411DcBq41HL.jpg', 'variant': 'GLMR', 'hi_res': 'https://m.media-amazon.com/images/I/61CSnSRFIJL._SL1500_.jpg'}]","[{'title': 'NBA 2K17 - Kobe: Haters vs Players', 'url': 'https://www.amazon.com/vdp/386e44f88d0f41d99714076c93459753?ref=dp_vse_rvc_0', 'user_id': ''}]",2K,"['Video Games', 'PlayStation 4', 'Games']","{'Release date': 'September 16, 2016', 'Best Sellers Rank': {'Video Games': 57637, 'PlayStation 4 Games': 2886}, 'Pricing': 'The strikethrough price is the List Price. Savings represents a discount off the List Price.', 'Product Dimensions': '0.4 x 5.3 x 6.6 inches; 1.6 Ounces', 'Type of item': 'Video Game', 'Rated': 'Everyone', 'Item model number': '47793', 'Is Discontinued By Manufacturer': 'No', 'Item Weight': '1.6 ounces', 'Manufacturer': '2K Games', 'Date First Available': 'April 13, 2016'}",B00Z9TLVK0,,Video Games Video Games PlayStation 4 Games,video game video game playstation game
Video Games,Nintendo Selects: The Legend of Zelda Ocarina of Time 3D (Renewed),4.9,22,"['Authentic Nintendo Selects: The Legend of Zelda Ocarina of Time 3D', 'Does not come with original case or manuals. Cartridge only', 'Cartridge and label are in nice condition', 'Fully tested and guaranteed']",[],37.42,"[{'thumb': 'https://m.media-amazon.com/images/I/51raO0wAe8L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51raO0wAe8L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81dM82yx6wL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51ag4Lai25L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ag4Lai25L.jpg', 'variant': 'PT01', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41D7zacd5cL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41D7zacd5cL.jpg', 'variant': 'PT02', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41sNSMvZGAL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41sNSMvZGAL.jpg', 'variant': 'PT03', 'hi_res': None}]",[],Amazon Renewed,"['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Nintendo 3DS & 2DS', 'Games']","{'Best Sellers Rank': {'Video Games': 51019, 'Nintendo 3DS & 2DS Games': 432}, 'Pricing': 'The strikethrough price is the List Price. Savings represents a discount off the List Price.', 'Product Dimensions': '0.5 x 5.4 x 4.9 inches; 2.05 Ounces', 'Type of item': 'Video Game', 'Rated': 'Everyone 10+', 'Is Discontinued By Manufacturer': 'No', 'Item Weight': '2.04 ounces', 'Manufacturer': 'Nintendo', 'Date First Available': 'June 14, 2019'}",B07SZJZV88,,Video Games Video Games Legacy Systems Nintendo Systems Nintendo 3DS & 2DS Games,video game video game legacy system nintendo system nintendo d d game
Video Games,Thrustmaster Elite Fitness Pack for Nintendo Wii,3.0,3,"['Includes (9) Total Accessories', 'Pedometer', 'Wii Fit Balance Board Stepper', 'Floor Mat made from high density Woven Foam', '(2) flexible Arm/Leg Weights']","['The Thrustmaster Motion Plus Elite Fitness Pack for Wii is Ideal for Nintendo Wii Fit & Wii Fit Plus games such as EA Active (EA), U Shape & My Fitness Coach (UbiSoft). Ultimate pack with 9 accessories for the Nintendo Wii Fit Balance Board including: (1) floor mat made from woven foam Size (inches) : 70x20, (2) flexible ankle or wrist weights, (1) stepper for the Wii Balance Board, (1) pedometer to count your steps during each in-game exercise or train without games, (1) armband for Wiimote or Wiimote with MotionPlus - for use in menus without stepping away from the training area, (1) leg band for the Nunchuck controller (1) lanyard to your MP3 player around your neck and (1) carry bag featuring trendy sport design with two internal pockets: ideal for storing, protecting and transporting your Wii Balance Board with one game and ALL Elite Fitness pack accessories! 2 Year Warranty!']",,"[{'thumb': 'https://m.media-amazon.com/images/I/31spO9JKluL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/31spO9JKluL.jpg', 'variant': 'MAIN', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/31rX51CAv5L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/31rX51CAv5L.jpg', 'variant': 'PT01', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/31rNKdcmUQL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/31rNKdcmUQL.jpg', 'variant': 'PT02', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/31xkaqpKS+L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/31xkaqpKS+L.jpg', 'variant': 'PT03', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/314yku+VEIL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/314yku+VEIL.jpg', 'variant': 'PT04', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41ezKm50QUL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41ezKm50QUL.jpg', 'variant': 'PT05', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/31u0pX5P+BL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/31u0pX5P+BL.jpg', 'variant': 'PT06', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/31byOVYmfUL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/31byOVYmfUL.jpg', 'variant': 'PT07', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/3160QI-NIXL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/3160QI-NIXL.jpg', 'variant': 'PT08', 'hi_res': None}]",[],THRUSTMASTER,"['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Wii', 'Accessories', 'Fitness Accessories']","{'Release date': 'November 1, 2009', 'Pricing': 'The strikethrough price is the List Price. Savings represents a discount off the List Price.', 'Product Dimensions': '19.8 x 14 x 4.75 inches; 7.35 Pounds', 'Type of item': 'Video Game', 'Language': 'English, French', 'Item model number': '4660368', 'Item Weight': '7.35 pounds', 'Manufacturer': 'Thrustmaster VG', 'Date First Available': 'September 11, 2009'}",B002WH4ZJG,,Video Games Video Games Legacy Systems Nintendo Systems Wii Accessories Fitness Accessories,video game video game legacy system nintendo system wii accessory fitness accessory
Video Games,Grand Prix 4,3.7,18,"['Operating System: Windows 98, ME, XP', 'Developer: Geoff Crammond', 'Publisher: Infogrames', 'Genre: Formula 1']","['Grand Prix 4 is the fourth installment in the GP-Series by Geoff Crammond. However, this time around, Microprose had a much larger role in the development of the game. For the first time in the Grand-Prix-Series, Grand Prix 4 had to go directly head-to-head with an EA-Sports offering, in the form of F1 2002. The flame wars and heated debate about which is better has not stopped since. Grand Prix 4 is not a revolution over Grand Prix 3, but more an evolution, as was Grand Prix 3 over Grand Prix 2. Today the game still lives on with plenty of new downloads and updates available to bring the game up to the latest season.']",,"[{'thumb': 'https://m.media-amazon.com/images/I/51167J4AQSL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51167J4AQSL.jpg', 'variant': 'MAIN', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/5128X6W23SL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/5128X6W23SL.jpg', 'variant': 'PT01', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/51XE41TZXDL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51XE41TZXDL.jpg', 'variant': 'PT03', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/51PE3CA5B7L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51PE3CA5B7L.jpg', 'variant': 'PT04', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/31BDm2VqflL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/31BDm2VqflL.jpg', 'variant': 'GLMR', 'hi_res': 'https://m.media-amazon.com/images/I/51WzbguWjjL._SL1500_.jpg'}]",[],,"['Video Games', 'PC', 'Games']","{'Pricing': 'The strikethrough price is the List Price. Savings represents a discount off the List Price.', 'Package Dimensions': '7.64 x 5.43 x 1.42 inches; 7.04 Ounces', 'Type of item': 'Video Game', 'Is Discontinued By Manufacturer': 'No', 'Item Weight': '7 ounces', 'Date First Available': 'November 28, 2011'}",B00005Y3OJ,,Video Games Video Games PC Games,video game video game pc game
Video Games,"Spongebob Squarepants, Vol. 1",4.4,32,"['Bubblestand: SpongeBob shows Patrick and Squidward his unique talent for blowing bubbles. Squidward attempts to surpass SpongeBobs expertise but not everything goes according to plan!', 'Ripped Pants: When SpongeBob tries to impress Sandy Cheeks at Mussel Beach, he accidentally rips his pants. The beach crowd loves the unintentional joke until SpongeBob pushes it too far.', 'Jellyfishing: While Squidward is recovering from an accident, SpongeBob and Patrick take him jellyfishing. But the two unwittingly thrust poor Squidward into the hazardous rigors of their favorite pastime.', 'Plankton: When evil Plankton takes control of his brain, SpongeBob must fight his own body to prevent himself from revealing the top secret Krabby Patty recipe!']","['Now you can watch the wild underwater antics of SpongeBob SquarePants on your Game Boy Advance, with this collection of 4 great episodes. In ""Hall Monitor,"" an overzealous SpongeBob becomes the new Hall Monitor at Mrs. Puff\'s Boating School, and extends his jurisdiction to the unsuspecting citizens of Bikini Bottom. In ""Jellyfish Jam,"" SpongeBob takes a wild jellyfish home and discovers that they multiply quickly when they take over his house! In ""Jellyfishing,"" SpongeBob and Patrick unwittingly thrust poor Squidward, who is recovering from an accident, into the hazardous rigors of their favorite pastime, jellyfishing. In ""Plankton,"" evil Plankton takes control of SpongeBob\'s brain, and SpongeBob must fight his own body to prevent himself from revealing the top secret Krabby Patty recipe!']",33.98,"[{'thumb': 'https://m.media-amazon.com/images/I/611XSBQ4RBL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/611XSBQ4RBL.jpg', 'variant': 'MAIN', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/31BDm2VqflL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/31BDm2VqflL.jpg', 'variant': 'GLMR', 'hi_res': 'https://m.media-amazon.com/images/I/51WzbguWjjL._SL1500_.jpg'}]",[],Majesco,"['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Game Boy Systems', 'Game Boy Advance', 'Games']","{'Release date': 'August 15, 2004', 'Best Sellers Rank': {'Video Games': 47190, 'Game Boy Advance Games': 142}, 'Pricing': 'The strikethrough price is the List Price. Savings represents a discount off the List Price.', 'Product Dimensions': '5.75 x 4 x 1 inches; 0.32 Ounces', 'Type of item': 'Video Game', 'Rated': 'Everyone', 'Item model number': 'GAMJC 096427013426', 'Is Discontinued By Manufacturer': 'Yes', 'Item Weight': '0.32 ounces', 'Manufacturer': 'Majesco Sales Inc.', 'Date First Available': 'June 1, 2004'}",B0001ZNU56,,Video Games Video Games Legacy Systems Nintendo Systems Game Boy Systems Game Boy Advance Games,video game video game legacy system nintendo system game boy system game boy advance game
Video Games,eXtremeRate Soft Touch Top Shell Front Housing Faceplate Replacement Parts with Side Rails Panel for Xbox One X & One S Controller (Shadow Purple),4.5,3061,"['Compatibility Models: Ultra fits for Xbox One X & One S controller ; Not compatible with Xbox One Elite controller & Standard Xbox One Controller.Check the second picture of the listing before purchase', 'Fit Perfectly: Fit the best by far; Completely fits flush on all side; Sit properly on all the clips', 'Package Includes: 1 * Faceplate shell ; 1 * Right side rails; 1 * Left side rails;1*Open Shell Tool;1 * T8H screwdriver; 7* screws. (IMPORTANT: The controller and other parts are not included.)', 'Installation Skills Required: Required customers to take apart the controller to install this front housing shell; Required customers handy with controller modifications', 'Personalized Feature: The shadow purple color looks great; Great smooth grip, soft in hand and feels silky; Anti slip, sweat free for a long period game playing']",[],17.59,"[{'thumb': 'https://m.media-amazon.com/images/I/41reviTraVL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41reviTraVL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/711FCClp7qL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51Y2sNaPYuL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Y2sNaPYuL.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/61WZB0JSbfL._SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41yHhIt5rDL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41yHhIt5rDL.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/517Xy-auRHL._SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41SlaNfN4fL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41SlaNfN4fL.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61oqzfBYbVL._SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41+ZJYYRKVL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41+ZJYYRKVL.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61gRCbvxyBL._SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41DKBJyb-EL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41DKBJyb-EL.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/61oHubD2jhL._SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/418wNkXtQ2L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/418wNkXtQ2L.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/61fUe2N9f8L._SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/411+i-oIjIL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/411+i-oIjIL.jpg', 'variant': 'PT07', 'hi_res': 'https://m.media-amazon.com/images/I/516v2K0Aq9L._SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41dEWqxkoWL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41dEWqxkoWL.jpg', 'variant': 'PT08', 'hi_res': 'https://m.media-amazon.com/images/I/51F+pvO+NfL._SL1000_.jpg'}]",[],eXtremeRate,"['Video Games', 'Xbox One', 'Accessories', 'Faceplates, Protectors & Skins']","{'Best Sellers Rank': {'Video Games': 48130, 'Xbox One Faceplates, Protectors & Skins': 253}, 'Pricing': 'The strikethrough price is the List Price. Savings represents a discount off the List Price.', 'Product Dimensions': '6.5 x 4.53 x 1.97 inches; 1.76 Ounces', 'Type of item': 'Video Game', 'Item model number': 'ZSXOF0', 'Is Discontinued By Manufacturer': 'No', 'Item Weight': '1.76 ounces', 'Manufacturer': 'Extremerate', 'Country of Origin': 'China', 'Date First Available': 'September 11, 2017'}",B07H93H878,,"Video Games Video Games Xbox One Accessories Faceplates, Protectors & Skins",video game video game xbox one accessory faceplate protector skin
Computers,Set of 4 Bullet Buttons Nickel+Brass for Playstation PS3 PS2 controllers,4.8,4,"['Case Color: Silver', 'Case Material: Nickel', 'Primer Color: Bronze', 'Primer Material: Brass', 'Brand of ammo shell may vary from the picture shown, but it will look very similar.']","['A set of 4 bullet button to replace all the 4 buttons (Cross, Square, Triangle, Circle) of your PS3 controller. Made from 9mm luger bullet casings, to perfectly fit the PS3. The bullet buttons are already mounted on a special plastic holder that fit directly and perfectly your PS3 controller. Each cartridge shell have a small layer of clear coat that keep the bullet button ultra shiny even after many years. The clear coat also prevent the metallic odor that can be created during extended use . Case Color: Silver Case Material: Nickel Primer Color: Bronze Primer Material: Brass']",,"[{'thumb': 'https://m.media-amazon.com/images/I/410NNQMoFEL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/410NNQMoFEL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41ETKho5m-L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41ETKho5m-L._AC_.jpg', 'variant': 'PT01', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/415t4vhHyPL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/415t4vhHyPL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/91sScW8kwwL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41EFsAYd8ZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41EFsAYd8ZL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/812W6x6a9HL._AC_SL1500_.jpg'}]",[],NEXiLUX,"['Video Games', 'PlayStation 4', 'Accessories', 'Controllers']","{'Package Dimensions': '4 x 3 x 0.3 inches', 'Item Weight': '1 pounds', 'Manufacturer': 'NEXiLUX', 'Date First Available': 'September 17, 2012'}",B009C9E8JY,,Computers Video Games PlayStation 4 Accessories Controllers,computer video game playstation accessory controller
Video Games,Konami Collector's Series: Castlevania & Contra - PC,3.6,19,"[""This collection of classic 8-bit games includes five all-time greats - Castlevania, Castlevania II, Castlevania - Dracula's Curse, Contra and Super C"", 'Customize controls at any time, during any game', 'Quick-save lets players save their progress from any point in the game', 'Get back into the games you loved with this collection of old-school classics!']","[""The Konami Collector's Series: Castlevania & Contra brings back the classic games that first appeared on the NES for a new generation of computer gamers!""]",,"[{'thumb': 'https://m.media-amazon.com/images/I/21CERVWQ5DL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/21CERVWQ5DL.jpg', 'variant': 'MAIN', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/31BDm2VqflL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/31BDm2VqflL.jpg', 'variant': 'GLMR', 'hi_res': 'https://m.media-amazon.com/images/I/51WzbguWjjL._SL1500_.jpg'}]","[{'title': ""Konami Collector's Series: Arcade Advanced"", 'url': 'https://www.amazon.com/vdp/0dd0015b33fb49d4b3c1aa5c17ec497c?ref=dp_vse_rvc_0', 'user_id': ''}]",Square Enix,"['Video Games', 'PC', 'Games']","{'Release date': 'December 2, 2002', 'Best Sellers Rank': {'Video Games': 154968, 'PC-compatible Games': 8771}, 'Pricing': 'The strikethrough price is the List Price. Savings represents a discount off the List Price.', 'Product Dimensions': '24 x 24 x 24 inches; 3.99 Ounces', 'Type of item': 'Video Game', 'Rated': 'Everyone', 'Item model number': 'KONAMI GAMES', 'Is Discontinued By Manufacturer': 'Yes', 'Item Weight': '3.99 ounces', 'Manufacturer': 'Konami', 'Date First Available': 'December 13, 2002'}",B00006969T,,Video Games Video Games PC Games,video game video game pc game
